id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2017-01-20 21:50:56.36174,,,,,,f,,3F0BG9B9MQG9KLHZFJU5AAXI6O8Y7H,AssignmentAccepted
2,2017-01-20 21:51:04.499805,,,,,,f,,34V1S5K3GTUBFKVMOXXX5F4V244692,AssignmentAccepted
3,2017-01-20 21:51:41.332565,,,,,,f,,3F6KKYWMNCUVPVEVZUOGTM97OF8DN0,AssignmentAccepted
4,2017-01-20 21:51:50.005757,,,,,,f,,326O153BMJRRVP1I6VLX3ZFYAN7DEB,AssignmentAccepted
5,2017-01-20 21:51:51.047675,,,,,,f,,3TDXMTX3CCN4QLOPSR3AI83YLUR6IL,AssignmentAccepted
6,2017-01-20 21:51:54.996782,,,,,,f,,38SKSKU7R2QM96RWFV9C7RLVBPGLI8,AssignmentAccepted
7,2017-01-20 21:51:56.862518,,,,,,f,,33LK57MYLUYV89BWZ8UZJ82GZWQSZQ,AssignmentAccepted
8,2017-01-20 21:51:57.337112,,,,,,f,,3IGI0VL648DMTS5KP32W4GL6STFNO7,AssignmentAccepted
9,2017-01-20 21:51:57.71749,,,,,,f,,3D4CH1LGEBMDCDKS0A6JH6HKWI79G7,AssignmentAccepted
10,2017-01-20 21:51:58.557248,,,,,,f,,3TU5ZICBREU4BXVWYE5HBOQBIZYQ8U,AssignmentAccepted
11,2017-01-20 21:52:00.396966,,,,,,f,,30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,AssignmentAccepted
12,2017-01-20 21:52:00.74147,,,,,,f,,30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,AssignmentReturned
13,2017-01-20 21:52:01.146259,,,,,,f,,30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,AssignmentAccepted
14,2017-01-20 21:52:22.228879,,,,,,f,,3E337GFOLA1Y1FOM1KPOZ7C417OGND,AssignmentAccepted
15,2017-01-20 21:53:26.380449,,,,,,f,,3D4CH1LGEBMDCDKS0A6JH6HKWI79G7,AssignmentReturned
16,2017-01-20 21:53:26.384605,,,,,,f,,3D4CH1LGEBMDCDKS0A6JH6HKWI79G7,AssignmentAccepted
17,2017-01-20 21:54:10.00856,,,,,,f,,3IGI0VL648DMTS5KP32W4GL6STFNO7,AssignmentAccepted
18,2017-01-20 21:54:10.108317,,,,,,f,,3IGI0VL648DMTS5KP32W4GL6STFNO7,AssignmentReturned
19,2017-01-20 21:54:35.386488,,,,,,f,,3F0BG9B9MQG9KLHZFJU5AAXI6O8Y7H,AssignmentAccepted
20,2017-01-20 21:54:35.619825,,,,,,f,,3F0BG9B9MQG9KLHZFJU5AAXI6O8Y7H,AssignmentReturned
21,2017-01-20 21:54:37.924678,,,,,,f,,3IGI0VL648DMTS5KP32W4GL6STFNO7,AssignmentReturned
22,2017-01-20 21:55:00.132918,,,,,,f,,3E337GFOLA1Y1FOM1KPOZ7C417OGND,AssignmentSubmitted
23,2017-01-20 21:55:34.157594,,,,,,f,,3TYCR1GOTDC84WG6FZXY7MOL72IZLJ,AssignmentAccepted
24,2017-01-20 21:57:05.904288,,,,,,f,,3TDXMTX3CCN4QLOPSR3AI83YLUR6IL,AssignmentReturned
25,2017-01-20 21:57:20.415479,,,,,,f,,38SKSKU7R2QM96RWFV9C7RLVBPGLI8,AssignmentSubmitted
26,2017-01-20 21:57:29.064189,,,,,,f,,3TDXMTX3CCN4QLOPSR3AI83YLUR6IL,AssignmentAccepted
27,2017-01-20 21:57:58.826421,,,,,,f,,33LK57MYLUYV89BWZ8UZJ82GZWQSZQ,AssignmentReturned
28,2017-01-20 21:58:33.374897,,,,,,f,,3S3AMIZX3VYCYRH4A4F2DBFVPBVCDI,AssignmentAccepted
29,2017-01-20 21:59:39.211671,,,,,,f,,3F6KKYWMNCUVPVEVZUOGTM97OF8DN0,AssignmentSubmitted
30,2017-01-20 21:59:39.323932,,,,,,f,,30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,AssignmentSubmitted
31,2017-01-20 21:59:40.339065,,,,,,f,,3S3AMIZX3VYCYRH4A4F2DBFVPBVCDI,AssignmentSubmitted
32,2017-01-20 21:59:40.343242,,,,,,f,,3TU5ZICBREU4BXVWYE5HBOQBIZYQ8U,AssignmentSubmitted
